dateParse,title,date1,date2,address,contact,categories,frequency,dates
29.01.2020,Napa Truffle Festival,17.01.2020,20.01.2020," The Westin Verasa Napa,                         Napa, USA",info@napatrufflefestival.com,Trade Show  ; Arts & CraftsEntertainment & Media,Annual,1.12.2001-15.1.2018; 13.1.2017-16.1.2017; 15.1.2016-18.1.2016
29.01.2020,30A Songwriters Festival,17.01.2020,20.01.2020,"Miramar Beach, USA",culturalarts@embarqmail.com,Trade Show ; Education & Training,Monthly,1.12.2001-15.1.2018; 13.1.2017-16.1.2017; 15.1.2016-17.1.2016
29.01.2020,Arisia,17.01.2020,20.01.2020," The Westin Boston Waterfront, Boston, USA",info@arisia.org,Conference  ; Science & ResearchEntertainment & Media,Annual,1.12.2001-15.1.2018; 13.1.2017-16.1.2017; 15.1.2016-18.1.2016
29.01.2020,The Great British Rock & Blues Festival,17.01.2020,20.01.2020," Butlin's Skegness Resort, Skegness, UK",pressoffice@bourne-leisure.co.uk,Trade Show ; Entertainment & Media,Annual,19.1.2018-22.1.2018; 20.1.2017-23.1.2017; 22.1.2016-25.1.2016
29.01.2020,Winter Poetry & Prose Getaway,17.01.2020,20.01.2020," Stockton Seaview Hotel and Golf Club, Galloway, USA",info@wintergetaway.com,Conference ; Education & Training,Annual,13.1.2017-16.1.2017; 15.1.2016-18.1.2016; 16.1.2015-19.1.2015
29.01.2020,Scottish Salsa Congress,17.01.2020,20.01.2020," Hilton Edinburgh Grosvenor, Edinburgh, UK",sagi@salsasuave.co.uk,Conference  ; Education & TrainingEntertainment & Media,Annual,26.1.2018-29.1.2018
29.01.2020,Scarab Gaming Convention,17.01.2020,20.01.2020," Medallion Conference Center,                         Columbia, USA",advertisements@s-c-a-r-a-b.com," Conference ; Baby, Kids & Maternity",Annual,1.12.2001-15.1.2018; 13.1.2017-16.1.2017; 15.1.2016-18.1.2016
29.01.2020,NorthWest Trend Show,18.01.2020,20.01.2020," Embassy Suites by Hilton Seattle Bellevue, Bellevue, USA",hello@trendseattle.com,Trade Show  ; Apparel & ClothingFashion & Beauty,Quarterly,1.7.2001-9.4.2019; 20.1.2019-22.1.2019; 28.10.2018-30.10.2018; 25.3.2018-27.3.2018; 21.1.2018-23.1.2018; 1.11.2001-13.6.2017; 1.11.2001-13.6.2017; 26.3.2017-28.3.2017; 22.1.2017-24.1.2017; 1.6.2001-8.11.2016; 1.10.2001-12.4.2016; 15.6.2014-17.6.2014; 1.6.2001-8.4.2014; 1.2.2001-4.2.2014; 1.6.2001-8.10.2013; 1.11.2001-13.8.2013
29.01.2020,Interfiliere Paris,18.01.2020,20.01.2020," Paris Expo Porte de Versailles, Paris, France",cvivier@eurovet.fr,Trade Show  ; Apparel & ClothingFashion & Beauty,Annual,1.7.2001-9.7.2018; 1.8.2001-10.7.2017; 21.1.2017-23.1.2017; 23.1.2016-25.1.2016; 1.4.2001-6.7.2015; 24.1.2015-26.1.2015; 1.5.2001-7.7.2014; 25.1.2014-27.1.2014; 1.6.2001-8.7.2013
29.01.2020,Gtex Intl B2B Textile Machinery & Chemical Brand Expo,18.01.2020,20.01.2020," Karachi Expo Center, Karachi, Pakistan",mujibsiddiqui@gtexglobal.com,Trade Show  ; Apparel & ClothingIndustrial Engineering,Annual,26.1.2018-28.1.2018; 20.1.2017-22.1.2017; 31.1.2001-2.2.2016
29.01.2020,INNATEX,18.01.2020,20.01.2020," Messecenter Rhein Main Wallau, Hofheim, Germany",hitzel@muveo.de,Trade Show  ; Apparel & ClothingArts & Crafts,Bi-annual,29.7.2017-31.7.2017; 21.1.2017-23.1.2017; 30.7.2001-1.8.2016; 23.1.2016-25.1.2016; 1.1.2001-3.8.2015; 24.1.2015-26.1.2015
29.01.2020,Beauty Days,18.01.2020,20.01.2020," Evenementenhal Gorinchem, Gorinchem, Netherlands",gorinchem@evenementenhal.nl,Trade Show ; Fashion & Beauty,Annual,20.1.2018-22.1.2018; 28.1.2017-30.1.2017
29.01.2020,BATIRAMA,18.01.2020,20.01.2020," Hall TOURNAI EXPO, Brussels, Belgium",abonnement@bipinfopro.com,Trade Show ; Building & Construction,Annual,20.1.2018-22.1.2018; 23.1.2016-31.1.2016; 23.1.2015-25.1.2015; 17.1.2015-19.1.2015
29.01.2020,Strength to Stand,18.01.2020,20.01.2020,"Pigeon Forge, USA",info@strengthtostand.com,Conference ; Education & Training,Monthly,28.12.2018-30.12.2018; 13.1.2018-15.1.2018; 28.12.2017-30.12.2017
29.01.2020,Perioperative Transesophageal Echocardiography,18.01.2020,20.01.2020," Hyatt Regency Mission Bay Spa and Marina, San Diego, USA",tee-review@ucsd.edu,Conference ; Medical & Pharma,Annual,17.2.2018-19.2.2018; 15.2.2014-17.2.2014
29.01.2020,Northstar Fashion Exhibitions,19.01.2020,20.01.2020," Saint Paul RiverCentre,                         Saint Paul, USA",Northstarfashion@gmail.com,Trade Show  ; Apparel & ClothingFashion & Beauty,Quarterly,25.8.2019-27.8.2019; 16.6.2019-17.6.2019; 17.3.2019-19.3.2019; 20.1.2019-21.1.2019; 14.10.2018-16.10.2018; 26.8.2018-28.8.2018; 1.10.2001-11.6.2018; 27.3.2018-29.3.2018; 1.10.2001-11.1.2018; 29.10.2017-31.10.2017; 27.8.2017-29.8.2017; 1.11.2001-12.6.2017; 19.3.2017-21.3.2017; 18.1.2017-19.1.2017; 30.10.2001-1.11.2016; 28.8.2016-30.8.2016; 1.12.2001-13.6.2016; 20.3.2016-22.3.2016; 31.1.2001-2.2.2016; 18.10.2015-20.10.2015; 23.8.2015-25.8.2015; 14.6.2015-15.6.2015; 31.3.2001-2.4.2015; 25.1.2015-27.1.2015; 26.10.2014-28.10.2014; 24.8.2014-26.8.2014; 17.6.2014-18.6.2014; 23.3.2014-25.3.2014; 19.1.2014-21.1.2014; 27.10.2013-29.10.2013; 25.8.2013-27.8.2013; 1.9.2001-10.6.2013; 13.4.2013-15.4.2013; 1.10.2001-11.6.2012; 19.3.2012-21.3.2012; 22.1.2012-24.1.2012
29.01.2020,"International Conference On Medical, Biological And Pharmaceutical Sciences",19.01.2020,20.01.2020," Palm Garden Hotel, Putrajaya, Malaysia",info@iastem.org,Conference  ; Medical & PharmaScience & Research,Bi-annual,1.2.2001-3.9.2018; 19.7.2018-20.7.2018; 1.4.2001-5.4.2018; 1.4.2001-5.2.2018; 1.4.2001-5.8.2017
29.01.2020,The Remainder & Promotional Book Fair,19.01.2020,20.01.2020," ILEC Conference Centre, London, UK",enquiries@ciana.co.uk,Trade Show ; Education & Training,Bi-annual,20.1.2019-21.1.2019; 1.9.2001-10.9.2018; 21.1.2018-22.1.2018; 1.10.2001-11.9.2017; 15.1.2017-16.1.2017; 17.1.2016-18.1.2016; 13.9.2015-14.9.2015; 14.9.2014-15.9.2014; 15.9.2013-16.9.2013; 1.9.2001-10.9.2012; 1.11.2001-12.9.2011; 16.1.2011-17.1.2011; 1.12.2001-13.9.2010; 17.1.2010-18.1.2010
29.01.2020,Travelers Show Baltimore,19.01.2020,20.01.2020," Embassy Suites by Hilton Baltimore Hunt Valley, Cockeysville, USA",TRAVELERSSHOW@AOL.COM,Trade Show  ; Apparel & ClothingTravel & Tourism,Quarterly,21.10.2018-22.10.2018; 26.8.2018-27.8.2018; 22.10.2017-23.10.2017; 23.8.2017-24.8.2017; 1.12.2001-13.3.2017; 22.1.2017-23.1.2017; 15.6.2015-16.6.2015; 15.3.2015-16.3.2015; 18.1.2015-19.1.2015; 1.6.2001-7.10.2014; 15.6.2014-16.6.2014; 1.9.2001-10.3.2014; 19.1.2014-20.1.2014; 13.10.2013-14.10.2013; 17.6.2013-18.6.2013; 27.1.2013-28.1.2013; 18.6.2012-19.6.2012; 22.1.2012-23.1.2012; 1.10.2001-11.10.2011
29.01.2020,"International Conference on Medical, Medicine and Health Sciences",19.01.2020,20.01.2020," Hotel MyStays Shin-Osaka Conference Center, Osaka, Japan",joelyn.david22@gmail.com,Conference ; Medical & Pharma,Monthly,30.11.2001-1.12.2019; 27.10.2019-28.10.2019; 28.9.2019-29.9.2019; 31.8.2001-1.9.2019; 27.7.2019-28.7.2019; 29.6.2019-30.6.2019; 25.5.2019-26.5.2019; 18.5.2019-19.5.2019; 20.4.2019-21.4.2019; 16.3.2019-17.3.2019; 16.2.2019-17.2.2019; 26.1.2019-27.1.2019; 27.12.2018-28.12.2018; 23.8.2018-24.8.2018; 26.7.2018-27.7.2018; 26.6.2018-27.6.2018; 23.5.2018-24.5.2018; 25.4.2018-26.4.2018; 27.3.2018-28.3.2018; 27.2.2018-28.2.2018; 29.1.2018-30.1.2018; 29.1.2018-30.1.2018; 28.12.2017-29.12.2017; 28.11.2017-29.11.2017; 26.10.2017-27.10.2017; 27.9.2017-28.9.2017; 28.8.2017-29.8.2017; 27.7.2017-28.7.2017; 28.6.2017-29.6.2017; 24.5.2017-25.5.2017; 26.4.2017-27.4.2017; 28.11.2016-29.11.2016; 29.10.2016-30.10.2016; 28.3.2016-29.3.2016
29.01.2020,Vancouver Resource Investment Conference,19.01.2020,20.01.2020," Vancouver Convention Centre East, Vancouver, Canada",info@cambridgehouse.com,Conference ; Business Services,Biennial,22.1.2017-23.1.2017; 22.1.2017-23.1.2017; 24.1.2016-25.1.2016; 18.1.2015-19.1.2015; 1.1.2001-2.6.2014; 19.1.2014-20.1.2014; 26.5.2013-27.5.2013; 20.1.2013-21.1.2013
29.01.2020,International conference on Implications of Research in Business Economics Management Social Sciences and Humanities,19.01.2020,20.01.2020," HOTEL MYSTAYS Shin Osaka Conference Center, Osaka, Japan",info@anissh.com,Conference  ; Science & ResearchBusiness Services,Monthly,30.11.2001-1.12.2019; 27.10.2019-28.10.2019; 28.9.2019-29.9.2019; 31.8.2001-1.9.2019; 29.6.2019-30.6.2019; 18.5.2019-19.5.2019; 20.4.2019-21.4.2019; 16.2.2019-17.2.2019; 26.1.2019-27.1.2019; 27.12.2018-28.12.2018; 21.11.2018-22.11.2018; 25.9.2018-26.9.2018; 23.8.2018-24.8.2018; 26.7.2018-27.7.2018; 25.4.2018-26.4.2018; 25.4.2018-26.4.2018; 27.3.2018-28.3.2018; 29.1.2018-30.1.2018; 28.12.2017-29.12.2017; 28.11.2017-29.11.2017; 26.10.2017-27.10.2017; 27.9.2017-28.9.2017; 28.8.2017-29.8.2017; 15.4.2017-16.4.2017; 14.3.2017-15.3.2017; 15.12.2016-16.12.2016; 15.11.2016-16.11.2016; 15.10.2016-16.10.2016
29.01.2020,"International Conference on Economics, Management and Social Study",19.01.2020,20.01.2020," Palm Garden Hotel, Putrajaya, Malaysia",info@iserd.co,Conference  ; Business ServicesEducation & Training,,19.11.2019-20.11.2019; 1.1.2001-2.9.2019; 18.7.2019-19.7.2019; 1.1.2001-2.12.2018; 18.10.2018-19.10.2018; 1.1.2001-2.11.2017; 27.6.2016-28.6.2016
29.01.2020,Serious Business,19.01.2020,20.01.2020," Saenger Theatre, New Orleans, USA",customercare@neill.com,Trade Show ; Business Services,Annual,14.1.2018-15.1.2018; 15.1.2017-16.1.2017; 31.1.2001-1.2.2016; 31.3.2001-1.4.2015; 1.2.2001-3.10.2014; 1.12.2001-13.9.2013
29.01.2020,EyeCare Conference & Exhibition,19.01.2020,20.01.2020," Hilton Glasgow, Glasgow, UK",support@cetpoints.com," Trade Show ; Wellness, Health & Fitness",Annual,21.1.2018-22.1.2018; 22.1.2017-23.1.2017
29.01.2020,Pan Arab Human Genetics Conference,19.01.2020,20.01.2020," Roda Al Bustan Dubai Airport, Dubai, UAE",pahgc@meetingmindsexperts.com,Conference ; Medical & Pharma,Biennial,21.1.2016-23.1.2016
29.01.2020,International Conference on Advances in Health and Medical Science,19.01.2020,20.01.2020," Village Hotel Changi,  Singapore",info.saard.org@gmail.com," Conference  ; Medical & PharmaWellness, Health & Fitness",Monthly,25.11.2019-26.11.2019; 25.10.2019-26.10.2019
29.01.2020,"International Conference on Contemporary issues in Science, Engineering & Management",19.01.2020,20.01.2020," Flamingo Hotel by the lake, Ampang Jaya, Malaysia",info@icci-sem.com,Conference  ; Science & ResearchEducation & Training,Quarterly,14.10.2019-15.10.2019; 17.8.2018-18.8.2018; 23.6.2018-24.6.2018
29.01.2020,Atlantic Dance Retail Shows Dallas,19.01.2020,20.01.2020," Grapevine Convention Center, Grapevine, USA",rlleung@aol.com,Trade Show ; Entertainment & Media,Annual,27.1.2018-29.1.2018; 29.1.2017-30.1.2017; 24.1.2016-25.1.2016
29.01.2020,"International Conference on Agriculture, Forestry, Biotechnology and Food Science",20.01.2020,NaN.1.2020," Hotel Mercure Istanbul Topkapi, Istanbul, Turkey",papers.scienceglobe@gmail.com,Conference  ; Agriculture & ForestryScience & Research,Monthly,
29.01.2020,Times Union Job Fair,20.01.2020,NaN.1.2020," Albany Marriott, Albany, USA",ddenault@timesunion.com,Trade Show ; Education & Training,Quarterly,
29.01.2020,"International Conference on Communication, Electronics and Electrical Engineering",20.01.2020,NaN.1.2020," GLAD Mapo, Jikhalsi, South Korea",papers.issrd@gmail.com,Conference  ; Electric & ElectronicsIndustrial Engineering,Monthly,
29.01.2020,Digital Breast Tomosynthesis,20.01.2020,NaN.1.2020," Advanced Health Education Center, Houston, USA",info@aheconline.com,Conference ; Medical & Pharma,Quarterly,
29.01.2020,"Asian Conference on Recent Advances in Science, Engineering and Technology",20.01.2020,NaN.1.2020," Hotel Skypark Kingstown Dongdaemun, Seoul, South Korea",papers.issrd@gmail.com,Conference  ; Science & ResearchIT & Technology,Monthly,
29.01.2020,The Osgoode Certificate in Privacy Law and Information Management in Healthcare,20.01.2020,NaN.1.2020," Osgoode Professional Development, Toronto, Canada",OsgoodePD@osgoode.yorku.ca,Trade Show  ; Medical & PharmaBusiness Services,Annual,
29.01.2020,Preventing Suicide in Young People & Children,20.01.2020,NaN.1.2020," De Vere West One, London, UK",katiej@hc-uk.org.uk," Conference  ; Education & TrainingWellness, Health & Fitness",Annual,
29.01.2020,T Rose International Bridal Show Ft Lauderdale Metro Area,20.01.2020,NaN.1.2020,"Fort Lauderdale, USA",info@trosebridalshows.com,Trade Show  ; Apparel & ClothingFashion & Beauty,Annual,
29.01.2020,CoramBAAF Conference,20.01.2020,NaN.1.2020," Coram Community Campus, London, UK",advice@corambaaf.org.uk,Conference ; Education & Training,Annual,
29.01.2020,ESF University Fair,20.01.2020,NaN.1.2020," King George V School,  Hong Kong",info@esfcentre.edu.hk,Trade Show ; Education & Training,Biennial,
29.01.2020,Salish Sea Early Music Festival on Lopez Island,20.01.2020,NaN.1.2020," GRACE CHURCH, Lopez Island, USA",salishseafestival@aol.com,Trade Show ; Entertainment & Media,Biennial,
29.01.2020,Atlanta International Gift & Home Furnishings Market,14.01.2020,21.01.2020," Atlanta Convention Center at AmericasMart, Atlanta, USA",bpatterson@americasmart.com,Trade Show  ; Fashion & BeautyHome & Office,Bi-annual,13.3.2019-15.3.2019; 1.8.2001-15.1.2019; 1.10.2001-16.7.2018; 1.7.2001-9.3.2018; 1.9.2001-16.1.2018; 1.8.2001-10.3.2017; 1.10.2001-17.1.2017; 1.12.2001-19.7.2016; 1.2.2001-4.3.2016; 1.12.2001-19.1.2016; 16.9.2015-18.9.2015; 1.7.2001-14.7.2015; 13.3.2015-15.3.2015; 1.6.2001-13.1.2015; 16.9.2014-18.9.2014; 1.8.2001-15.7.2014; 1.7.2001-9.3.2014; 1.8.2001-15.1.2014; 1.10.2001-16.7.2013; 21.9.2012-23.9.2012; 1.11.2001-18.1.2012; 14.10.2011-16.10.2011; 13.7.2011-20.7.2011; 1.12.2001-19.1.2011; 1.11.2001-13.9.2010; 14.7.2010-21.7.2010; 1.6.2001-13.1.2010; 1.8.2001-15.7.2009; 1.6.2001-14.1.2009
29.01.2020,MAISON&OBJET,17.01.2020,21.01.2020," Parc des expositions Paris Nord Villepinte, Paris, France",maison-objet@badgeonline.net,Trade Show  ; Arts & CraftsHome & Office,Quarterly,18.1.2019-22.1.2019; 1.7.2001-11.9.2018
29.01.2020,Nomad Summit,17.01.2020,21.01.2020," Shangri-La Hotel - Chiang Mai, Chiang Mai, Thailand",johnny@johnnyfd.com,Conference ; IT & Technology,Annual,
29.01.2020,Texworld USA,19.01.2020,21.01.2020," Jacob K. Javits Convention Center, New York, USA",dennis.smith@usa.messefrankfurt.com,Trade Show ; Apparel & Clothing,Bi-annual,17.7.2017-19.7.2017; 23.1.2017-25.1.2017; 1.12.2001-14.7.2016; 24.1.2016-26.1.2016; 22.7.2014-24.7.2014; 21.1.2014-23.1.2014; 16.7.2013-18.7.2013; 14.1.2013-16.1.2013; 24.7.2012-26.7.2012; 16.1.2012-18.1.2012; 19.7.2011-21.7.2011; 18.1.2011-20.1.2011; 13.7.2010-15.7.2010; 19.1.2010-21.1.2010; 14.7.2009-16.7.2009; 1.3.2001-5.2.2009; 14.7.2008-16.7.2008; 22.1.2008-24.1.2008
29.01.2020,Intersec,19.01.2020,21.01.2020," Dubai World Trade Centre, Dubai, UAE",intersec@uae.messefrankfurt.com,Trade Show ; IT & Technology,Annual,15.1.2013-17.1.2013; 15.1.2012-17.1.2012; 16.1.2011-18.1.2011; 17.1.2010-19.1.2010; 18.1.2009-20.1.2009; 13.1.2008-15.1.2008
29.01.2020,ANME Trade Show,19.01.2020,21.01.2020," Rio All-Suites Hotel and Casino, Las Vegas, USA",info@anmexpo.com,Trade Show ; Security & Defense,Bi-annual,1.12.2001-14.8.2018; 20.1.2018-23.1.2018; 15.1.2017-17.1.2017; 14.8.2016-16.8.2016; 17.1.2016-19.1.2016; 16.8.2015-18.8.2015; 16.1.2015-20.1.2015; 17.8.2014-18.8.2014; 1.12.2001-14.1.2014; 13.1.2013-16.1.2013; 23.7.2012-24.7.2012; 15.1.2012-18.1.2012; 16.1.2011-19.1.2011; 18.1.2010-20.1.2010; 1.8.2001-10.8.2009; 15.2.2009-17.2.2009; 23.8.2008-26.8.2008
29.01.2020,PROJECT,19.01.2020,21.01.2020," Jacob K. Javits Convention Center, New York, USA",kristina.ishchenko@ubm.com,Trade Show  ; Apparel & ClothingFashion & Beauty,Bi-annual,20.1.2019-22.1.2019; 22.7.2018-24.7.2018; 21.1.2018-23.1.2018; 16.7.2017-18.7.2017; 23.1.2017-25.1.2017; 17.7.2016-19.7.2016; 24.1.2016-26.1.2016; 19.7.2015-21.7.2015; 19.1.2015-21.1.2015; 20.7.2014-22.7.2014; 21.1.2014-23.1.2014; 21.7.2013-23.7.2013; 22.7.2012-24.7.2012; 16.1.2012-18.1.2012; 17.7.2011-19.7.2011; 16.1.2011-18.1.2011; 19.7.2010-21.7.2010; 18.1.2010-20.1.2010; 20.7.2009-22.7.2009; 18.1.2009-20.1.2009; 21.7.2008-23.7.2008
29.01.2020,Quebec Retail Trade Show,19.01.2020,21.01.2020," Place Forzani, Laval, Canada",info@tradersforum.ca,Trade Show ; Arts & Crafts,Bi-annual,13.1.2019-16.1.2019; 1.5.2001-7.9.2018; 15.1.2018-18.1.2018; 20.8.2017-22.8.2017; 16.1.2017-19.1.2017; 27.8.2016-30.8.2016; 18.1.2016-21.1.2016; 1.11.2001-14.1.2015; 24.8.2014-27.8.2014; 1.2.2001-5.2.2014; 25.8.2013-27.8.2013; 1.3.2001-6.2.2013
29.01.2020,Scotland Trade Fair,19.01.2020,21.01.2020," Scottish Event Campus, Glasgow, UK",sallie@springboardevents.net,Trade Show  ; Arts & CraftsFashion & Beauty,Annual,20.1.2019-22.1.2019; 16.9.2018-17.9.2018; 21.1.2018-23.1.2018; 17.9.2017-18.9.2017; 22.1.2017-24.1.2017
29.01.2020,Winter Fancy Food Show,19.01.2020,21.01.2020," Moscone center San Francisco CA, San Francisco, USA",web@nasft.org,Trade Show ; Food & Beverages,Annual,21.1.2018-23.1.2018; 19.1.2014-21.1.2014
29.01.2020,printwear and promotion live,19.01.2020,21.01.2020," NEC, Birmingham, UK",deales@datateam.co.uk,Trade Show ; Apparel & Clothing,Annual,21.1.2018-23.1.2018; 26.2.2017-28.2.2017; 28.2.2001-1.3.2016; 24.2.2013-26.2.2013; 26.2.2012-28.2.2012; 27.2.2001-1.3.2011; 28.2.2001-2.3.2010; 1.1.2001-3.3.2009; 1.2.2001-4.3.2008
29.01.2020,Imaging Usa,19.01.2020,21.01.2020," Gaylord Opryland Resort & Convention Center, Nashville, USA",wjones@ppa.com,Trade Show ; Education & Training,Biennial,1.8.2001-10.1.2017; 1.10.2001-12.1.2016; 1.1.2001-3.2.2015
29.01.2020,BETA International,19.01.2020,21.01.2020," NEC, Birmingham, UK",bethc@beta-int.com,Trade Show ; Apparel & Clothing,Annual,21.1.2018-23.1.2018; 22.1.2017-24.1.2017; 24.1.2016-26.1.2016; 22.2.2015-24.2.2015; 16.2.2014-18.2.2014; 17.2.2013-19.2.2013; 19.2.2012-21.2.2012; 20.2.2011-22.2.2011
29.01.2020,Rural Ontario Municipal Association Conference,19.01.2020,21.01.2020," Sheraton Centre Toronto Hotel, Toronto, Canada",roma@roma.on.ca,Conference ; Education & Training,Annual,21.1.2018-23.1.2018
29.01.2020,Made in America,19.01.2020,21.01.2020," Bellagio Hotel and Casino, Las Vegas, USA",info@frallc.com,Conference ; Education & Training,Annual,21.1.2018-23.1.2018; 18.1.2015-20.1.2015
29.01.2020,Quad Cities Farm Show,19.01.2020,21.01.2020," QCCA Expo Center, Rock Island, USA",info@qccaexpocenter.com,Trade Show  ; Agriculture & ForestryIndustrial Engineering,Annual,14.1.2018-16.1.2018; 15.1.2017-17.1.2017
29.01.2020,North Dakota Grain Dealers Association Conference,19.01.2020,21.01.2020," Holiday Inn Fargo,                         Fargo, USA",cerickson@sourisrivercooperative.com,Conference ; Agriculture & Forestry,Annual,14.1.2018-16.1.2018; 15.1.2017-17.1.2017; 19.1.2014-21.1.2014
29.01.2020,Fabric & Trim Show,20.01.2020,21.01.2020," Metropolitan Pavilion, New York, USA",info@dgexpo.net,Trade Show ; Apparel & Clothing,Bi-annual,15.1.2019-16.1.2019; 17.7.2018-18.7.2018; 17.1.2018-18.1.2018; 19.7.2017-20.7.2017; 18.1.2017-19.1.2017; 1.3.2001-4.8.2016; 20.1.2016-21.1.2016; 1.4.2001-5.8.2015; 1.12.2001-13.1.2015; 1.5.2001-6.8.2014; 1.4.2001-5.2.2014; 23.7.2013-24.7.2013; 1.5.2001-6.2.2013
29.01.2020,International Conference on Education & Management,20.01.2020,21.01.2020," Movenpick Hotel Amsterdam City Centre, Amsterdam, Netherlands",frontdesk@iaarhies.org,Conference  ; Business ServicesEducation & Training,Quarterly,15.10.2018-16.10.2018; 1.2.2001-3.6.2018; 1.2.2001-3.10.2017; 1.9.2001-10.3.2017
29.01.2020,"International Conference on Psychology, Language and Teaching",20.01.2020,21.01.2020," Hotel Mercure Istanbul Topkapi, Istanbul, Turkey",info@theiier.org,Conference ; Education & Training,Quarterly,20.4.2019-21.4.2019; 1.6.2001-7.2.2019; 20.7.2018-21.7.2018; 22.4.2018-23.4.2018; 22.10.2017-23.10.2017; 31.8.2001-1.9.2016
29.01.2020,International Conference on Civil and Architectural Engineering,20.01.2020,21.01.2020," Village Hotel Changi,  Singapore",info@iastem.org,Conference  ; Industrial EngineeringEducation & Training,Bi-annual,1.2.2001-3.10.2018; 20.7.2018-21.7.2018; 1.2.2001-3.10.2017; 1.8.2001-9.5.2017
29.01.2020,International Conference on Recent Advances in Medical Science,20.01.2020,21.01.2020," Hotel Mercure Istanbul Topkapi, Istanbul, Turkey",info@theiier.org,Conference  ; Medical & PharmaScience & Research,Quarterly,20.4.2019-21.4.2019; 1.6.2001-7.2.2019; 20.7.2018-21.7.2018; 22.4.2018-23.4.2018; 22.10.2017-23.10.2017
29.01.2020,Gastro Tek,20.01.2020,21.01.2020," Wunderland Kalkar, Kalkar, Germany",info@gastro-tek.eu,Trade Show  ; Food & BeveragesHome & Office,Annual,22.1.2018-23.1.2018; 23.1.2017-24.1.2017; 25.1.2016-26.1.2016; 26.1.2015-27.1.2015; 27.1.2014-28.1.2014; 28.1.2013-29.1.2013; 27.3.2012-28.3.2012
29.01.2020,Fuels of the Future - International Conference on Renewable Mobility,20.01.2020,21.01.2020," CityCube Berlin, Berlin, Germany",info@bioenergie.de,Conference ; Power & Energy,Annual,22.1.2018-23.1.2018; 18.1.2016-19.1.2016; 19.1.2015-20.1.2015
